,chembl_id,Predicted_Value
425,CHEMBL2111157,[np.float32(6.7605863)]
426,CHEMBL831,[np.float32(6.681656)]
427,CHEMBL282575,[np.float32(6.592066)]
428,CHEMBL1201348,[np.float32(6.5149345)]
429,CHEMBL2110948,[np.float32(6.503377)]
430,CHEMBL2107606,[np.float32(6.4738684)]
431,CHEMBL646,[np.float32(6.469759)]
432,CHEMBL3545313,[np.float32(6.4214416)]
433,CHEMBL1401367,[np.float32(6.351706)]
434,CHEMBL1000,[np.float32(6.3327265)]
435,CHEMBL1201203,[np.float32(6.2347236)]
436,CHEMBL404422,[np.float32(6.2047024)]
437,CHEMBL1451116,[np.float32(6.1418715)]
438,CHEMBL1201264,[np.float32(5.9601126)]
439,CHEMBL1200479,[np.float32(5.915466)]
440,CHEMBL1201338,[np.float32(5.8731937)]
441,CHEMBL2106636,[np.float32(5.5828032)]
442,CHEMBL544665,[np.float32(5.5653963)]
443,CHEMBL2106638,[np.float32(5.520808)]
444,CHEMBL2110926,[np.float32(5.181366)]
445,CHEMBL2104045,[np.float32(5.0815434)]
446,CHEMBL2104973,[np.float32(5.0768566)]
447,CHEMBL1200829,[np.float32(5.0684066)]
448,CHEMBL2106574,[np.float32(5.067241)]
449,CHEMBL229128,[np.float32(4.805114)]
450,CHEMBL24147,[np.float32(4.7918115)]
451,CHEMBL444186,[np.float32(4.790013)]
452,CHEMBL1232801,[np.float32(4.7892394)]
453,CHEMBL1693,[np.float32(4.7554717)]
454,CHEMBL1200398,[np.float32(4.675765)]
455,CHEMBL1411731,[np.float32(4.5167785)]
456,CHEMBL1201754,[np.float32(4.121579)]
457,CHEMBL1524273,[np.float32(4.084629)]
458,CHEMBL338802,[np.float32(4.013806)]
459,CHEMBL2107703,[np.float32(3.9695315)]
460,CHEMBL2106441,[np.float32(3.8939779)]
461,CHEMBL880,[np.float32(3.7712662)]
462,CHEMBL379845,[np.float32(3.2510498)]
463,CHEMBL1201093,[np.float32(2.9068158)]
464,CHEMBL279816,[np.float32(2.8705084)]
465,CHEMBL2106076,[np.float32(2.8606832)]
466,CHEMBL2105904,[np.float32(nan)]
467,CHEMBL461332,[np.float32(8.182074)]
468,CHEMBL2107004,[np.float32(7.2477975)]
469,CHEMBL1697782,[np.float32(7.108987)]
470,CHEMBL3989646,[np.float32(7.0170283)]
471,CHEMBL2110848,[np.float32(6.4683237)]
472,CHEMBL443605,[np.float32(6.2304206)]
473,CHEMBL1201045,[np.float32(nan)]
474,CHEMBL1200423,[np.float32(nan)]
475,CHEMBL2106825,[np.float32(7.8048)]
476,CHEMBL2146088,[np.float32(7.1506023)]
477,CHEMBL2004297,[np.float32(6.374783)]
478,CHEMBL19215,[np.float32(6.0530033)]
479,CHEMBL1201243,[np.float32(5.9707704)]
480,CHEMBL502135,[np.float32(5.9655905)]
481,CHEMBL1200385,[np.float32(5.6905847)]
482,CHEMBL3137329,[np.float32(5.5901365)]
483,CHEMBL1455497,[np.float32(5.5390735)]
484,CHEMBL516476,[np.float32(5.5192146)]
485,CHEMBL544428,[np.float32(5.500616)]
486,CHEMBL1201308,[np.float32(5.467199)]
487,CHEMBL1618018,[np.float32(5.4225526)]
488,CHEMBL1511957,[np.float32(5.412249)]
489,CHEMBL1200861,[np.float32(5.4050837)]
490,CHEMBL1200770,[np.float32(5.376922)]
491,CHEMBL2105980,[np.float32(5.1801686)]
492,CHEMBL1407915,[np.float32(5.106981)]
493,CHEMBL1711280,[np.float32(5.0930743)]
494,CHEMBL1201327,[np.float32(5.072315)]
495,CHEMBL1599768,[np.float32(4.863597)]
496,CHEMBL1200821,[np.float32(4.378076)]
497,CHEMBL1201172,[np.float32(4.127486)]
498,CHEMBL1200763,[np.float32(nan)]
499,CHEMBL3833312,[np.float32(5.6408997)]
500,CHEMBL2364738,[np.float32(nan)]
501,CHEMBL3989511,[np.float32(5.4974074)]
502,CHEMBL2106122,[np.float32(5.334162)]
503,CHEMBL501613,[np.float32(4.7308373)]
504,CHEMBL2107124,[np.float32(4.6357408)]
505,CHEMBL1329567,[np.float32(4.548482)]
506,CHEMBL1200360,[np.float32(4.4881787)]
507,CHEMBL1201239,[np.float32(4.4183836)]
508,CHEMBL1076347,[np.float32(4.379519)]
509,CHEMBL2104287,[np.float32(4.352625)]
510,CHEMBL1098285,[np.float32(3.6256669)]
511,CHEMBL1200627,[np.float32(3.316837)]
512,CHEMBL2068725,[np.float32(nan)]
513,CHEMBL2105996,[np.float32(nan)]
514,CHEMBL2146083,[np.float32(6.6729665)]
515,CHEMBL2105614,[np.float32(6.4684763)]
516,CHEMBL2105891,[np.float32(6.4184585)]
517,CHEMBL2068723,[np.float32(nan)]
518,CHEMBL1200439,[np.float32(nan)]
519,CHEMBL1590946,[np.float32(nan)]
520,CHEMBL1200474,[np.float32(7.822914)]
521,CHEMBL1457,[np.float32(7.055209)]
522,CHEMBL53,[np.float32(6.744801)]
523,CHEMBL1898387,[np.float32(6.2949567)]
524,CHEMBL1479848,[np.float32(6.2451897)]
525,CHEMBL2106739,[np.float32(6.1904054)]
526,CHEMBL489411,[np.float32(6.039422)]
527,CHEMBL552659,[np.float32(6.0330725)]
528,CHEMBL2107297,[np.float32(5.9997406)]
529,CHEMBL2106922,[np.float32(5.9988127)]
530,CHEMBL3833311,[np.float32(5.9898677)]
531,CHEMBL3989581,[np.float32(5.8299637)]
532,CHEMBL576127,[np.float32(5.7126107)]
533,CHEMBL1707007,[np.float32(5.710895)]
534,CHEMBL1214124,[np.float32(5.68165)]
535,CHEMBL867,[np.float32(5.6091213)]
536,CHEMBL951,[np.float32(5.588049)]
537,CHEMBL1725730,[np.float32(5.464162)]
538,CHEMBL2000813,[np.float32(5.4429765)]
539,CHEMBL1201261,[np.float32(5.3771224)]
